semester,pickuplocation,processinglocation,courseid,aresitemid,currentstatus,currentstatusdate,deptfinal,coursenumber,coursetitle,instructordisplayname,instructor,itembarcode,url,itemtitle,author,publisher,itemtype,itemformat,documenttype,typeofreserve,shelflocation,callnumber,articletitle,volume,issue,journalyear,journalmonth,pages,numberofusers,totalclicks
Fall 2024,OLIN,OKU,36271,260451,Item Available at Reserve Desk,02-Oct-24,,ENGRD 2020,ENGRD 2020 COMBINED-XLIST Statics and Mechanics of Solids (2024FA),,,31924088529940,,Statics and mechanics of materials /,"Beer, Ferdinand P. (Ferdinand Pierre), 1915-2003, author.",McGraw-Hill Education,MON,Book,HardCopy,Physical Reserve,Uris Library,Oversize TA351 .S68 2021 +,,,,,,,0,
Fall 2024,E-RESERVE,OKU,36205,259851,Item Available on Electronic Reserves,03-Sep-24,,ILRIG 4367,Migration and Mobility: Theories and Lived Realities,"Ivory, Tristan",,,https://www.kanopy.com/en/cornell/video/222475,Mariam: A Young Muslim Girl Comes of Age,Faiza Ambah,,MON,Video,WebLink,E-Reserve,KANOPY,STREAMING VIDEO,,,,,,,0,
Fall 2024,E-RESERVE,OKU,36205,259852,Item Available on Electronic Reserves,04-Sep-24,,ILRIG 4367,Migration and Mobility: Theories and Lived Realities,"Ivory, Tristan",,NA,https://cornell.kanopy.com/node/66398,Race-- the power of an illusion,,Kanopy Streaming,MON,Video,WebLink,E-Reserve,KANOPY,STREAMING VIDEO,,,,,,,0,
Fall 2024,OLIN,OKU,36175,259692,Item Available at Reserve Desk,06-Sep-24,,BEE5330/ENGRG5330,BEE 5330 COMBINED-XLIST Engineering Professionalism (2024SP),,,,,FE Other Disciplines Review Manual,"Michael R. Lindeburg, PE",,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,OLIN,OKU,36228,260058,Item Available at Reserve Desk,04-Nov-24,,BIOG1140,BIOG 1140 Foundations of Biology (2024FA),"Kristy L. Long, Darlene Campbell, Robert Turgeon, Karin P. Jantz, Leah Cynara Cook","Kristy L. Long, Darlene Campbell, Robert Turgeon, Karin P. Jantz, Leah Cynara Cook",31924131577839,,Campbell biology : concepts & connections,"Martha R. Taylor, Ithaca, New York, Eric J. Simon, New England College, Jean L. Dickey, Clemson University, Kelly Hogan, University of North Carolina, Chapel Hill, Jane B. Reece, Berkeley, California",Pearson,MON,Book,HardCopy,Physical Reserve,Uris Library,Oversize QH308.2 .T39 2018 +,,,,,,,0,
Fall 2024,OLIN,OKU,35701,255332,Item Available at Reserve Desk,30-Apr-24,,HCLP5004,Evidence-based Decision-making in Healthcare,,,31924099146528,,"Information Theory, Inference and Learning Algorithms",David J. C. MacKay,,MON,Book,HardCopy,Physical Reserve,,Q 360. M23 2003+,,,,,,,0,
Fall 2024,ILR,ILR,35844,256803,Item Available on Electronic Reserves,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,15DD6A4E.pdf,,"Gjerde, Jon",,MON,Book,WebLink,E-Reserve,,,Major Problems in American Immigrationand Ethnic History,,,,,,34,120
Fall 2024,ILR,ILR,35844,256804,Item Available on Electronic Reserves,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://www.jstor.org/stable/10.1086/532290?searchText=Tyler+Anbinder&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3DTyler%2BAnbinder&ab_segments=0%2Fbasic_search_gsv2%2Fcontrol&refreqid=fastly-default%3A5b885b2bd2f217f315891ef64368f723&seq=1,,"Anbinder, Tyler",,MON,Book,HardCopy,Physical Reserve,,,From Famin to Five Points,,,,,,0,
Fall 2024,ILR,ILR,35844,256801,Item Available on Electronic Reserves,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://catalog.library.cornell.edu/catalog/16155054,America for Americans,"Lee, Rrika",,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,ILR,ILR,35844,256802,Item Available at Reserve Desk,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924126717135,,America for Americans : a history of xenophobia in the United States,Erika Lee,Basic Books,MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Olin Library),E184.A1 L4135 2019,,,,,,,0,
Fall 2024,ILR,ILR,35844,257087,Item Available at Reserve Desk,07-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://ebookcentral.proquest.com/lib/cornell/detail.action?docID=6587221,House of Sticks,Ly Tran,,MON,Book,WebLink,E-Reserve,,,,,,,,,4,16
Fall 2024,ILR,ILR,35844,256928,Item Available at Reserve Desk,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924128852930,,House of sticks : a memoir,Ly Tran,"Scribner, an imprint of Simon & Schuster, Inc.",MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Olin Library),F128.9.V53 T73 2021,,,,,,,0,
Fall 2024,ILR,ILR,35844,256800,Item Available at Reserve Desk,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924129237388,,Immigration : an American history,"Carl J. Bon Tempo, Hasia R. Diner",London,MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Olin Library),JV6450 .B66 2022,,,,,,,0,
Fall 2024,ILR,ILR,35844,256799,Item Available on Electronic Reserves,01-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://catalog.library.cornell.edu/catalog/16154975,Immigration: An American History,"Carl J. Bon Tempo, Hasia R. Diner",,MON,Book,WebLink,E-Reserve,,,,,,,,,28,126
Fall 2024,E-RESERVE,ILR,35844,259591,Item Available on Electronic Reserves,27-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,15DD6C1B.pdf,Major Problems in American Immigrationand Ethnic History,"Gjerde, Jon",,MON,Book,PDF,E-Reserve,,,CH 1,,,,,,28,62
Fall 2024,ILR,ILR,35844,256924,Item Available on Electronic Reserves,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://ebookcentral.proquest.com/lib/cornell/detail.action?docID=6181188,"Migrant Citizenship : Race, Rights, and Reform in the U. S. Farm Labor Camp Program",Verónica Martínez-Matsuda,,MON,Book,WebLink,E-Reserve,,,,,,,,,7,11
Fall 2024,ILR,ILR,35844,256925,Item Available at Reserve Desk,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924129157859,,"Migrant citizenship : race, rights, and reform in the U.S. farm labor camp program",Verónica Martínez-Matsuda,University of Pennsylvania Press,MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Catherwood Library),HD1525 .M243 2020,,,,,,,0,
Fall 2024,ILR,ILR,35844,256930,Item Available on Electronic Reserves,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://catalog.library.cornell.edu/catalog/11467089,Redifining the immigrant south,Uzma Quraishi,,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,ILR,ILR,35844,256931,Item Available at Reserve Desk,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924129217380,,Refuge : how the state shapes human potential,Heba Gowayed,Princeton University Press,MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Olin Library),HV640.5.S97 G69 2022,,,,,,,0,
Fall 2024,ILR,ILR,35844,256929,Item Available on Electronic Reserves,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://catalog.library.cornell.edu/catalog/15568283,Refuge: How the state shapes human potential,Heba Gowayed,,MON,Book,WebLink,E-Reserve,,,,,,,,,3,4
Fall 2024,ILR,ILR,35844,257232,Item Available on Electronic Reserves,08-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://catalog.library.cornell.edu/catalog/16403219,The Chinese must go,Beth Lew-Williams,Harvard University Press,MON,Book,WebLink,E-Reserve,,,,,,,,,12,24
Fall 2024,ILR,ILR,35844,256923,Item Available at Reserve Desk,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924125456339,,"The Chinese must go : violence, exclusion, and the making of the alien in America",Beth Lew-Williams,Harvard University Press,MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Kroch Asia Collections),E184.C5 L564 2018,,,,,,,0,
Fall 2024,ILR,ILR,35844,256927,Item Available on Electronic Reserves,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,,https://catalog.library.cornell.edu/catalog/15568276,The Far Away Brothers,Lauren Markham,,MON,Book,WebLink,E-Reserve,,,,,,,,,5,15
Fall 2024,ILR,ILR,35844,256926,Item Available at Reserve Desk,05-Aug-24,,ILRGL3020,Strangers and Citizens: Immigration and Labor in U.S. History,Ileen DeVault,Ileen DeVault,31924100811805,,Working toward whiteness : how America's immigrants became white ; the strange journey from Ellis Island to the suburbs,David R. Roediger,Basic Books,MON,Book,HardCopy,Physical Reserve,Catherwood Library Reserve (Olin Library),JV6475 .R64 2005,,,,,,,0,
Fall 2024,OLIN,OKU,35762,260532,Item Available at Reserve Desk,07-Oct-24,Actual,Actual Ancient Aliens,Actual Ancient Aliens,"Welgan, Belisarius",,31924050014830,,"Somnium; the dream, or posthumous work on lunar astronomy",Johannes Kepler/Edward Rosen,,MON,Book,HardCopy,Physical Reserve,Olin,QB41.K38 S6 1967,,,,,,,0,
Fall 2024,OLIN,OKU,35762,255966,Item Available at Reserve Desk,02-Jul-24,Actual,Actual Ancient Aliens,Actual Ancient Aliens,"Welgan, Belisarius",,31924061178574,,Style : Toward Clarity And Grace,"Williams, Joseph",,MON,Book,HardCopy,Physical Reserve,ILR,PE1421 .W72 1990,,,,,,,0,
Fall 2024,OLIN,OKU,35762,255965,Item Available at Reserve Desk,27-Jun-24,Actual,Actual Ancient Aliens,Actual Ancient Aliens,"Welgan, Belisarius",,31924119621047,,The Transition To College Writing,"Hjortshoj, Keith",,MON,Book,HardCopy,Physical Reserve,Olin,PE1408 .H636,,,,,,,0,
Fall 2024,MANN,MANN,36218,259984,Awaiting Supply by Instructor,05-Sep-24,AEM,AEM 2100,Introductory Statistics (2021FA),,,31924108806682,,Statistics for Business & Economics,"David R. Anderson, Thomas A. Williams, James J. Cochran, Dennis J. Sweeney, Jeffrey D. Camm, Michael J. Fry, Jeffrey W. Ohlmann",,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,MANN,MANN,36218,259990,Awaiting Supply by Instructor,05-Sep-24,AEM,AEM 2100,Introductory Statistics (2021FA),,,31924108806583,,Statistics for Business & Economics,"David R. Anderson, Thomas A. Williams, James J. Cochran, Dennis J. Sweeney, Jeffrey D. Camm, Michael J. Fry, Jeffrey W. Ohlmann",,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,OLIN,OKU,36218,259985,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 2100,Introductory Statistics (2021FA),,,31924125070452,,Statistics for business and economics,"David R. Anderson, University of Cincinnati, Dennis J. Sweeney, University of Cincinnati, Thomas A. Williams, Rochester Institute of Technology, Jeffrey D. Camm, Wake Forest University, James J. Cochran, University of Alabama",Cengage Learning,MON,Book,HardCopy,Physical Reserve,Olin Permanent Reserve,Oversize HF1017 .A6 2017,,,,,,,0,
Fall 2024,OLIN,OKU,36218,259986,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 2100,Introductory Statistics (2021FA),,,31924125070460,,Statistics for business and economics,"David R. Anderson, University of Cincinnati, Dennis J. Sweeney, University of Cincinnati, Thomas A. Williams, Rochester Institute of Technology, Jeffrey D. Camm, Wake Forest University, James J. Cochran, University of Alabama",Cengage Learning,MON,Book,HardCopy,Physical Reserve,Olin Permanent Reserve,Oversize HF1017 .A6 2017,,,,,,,0,
Fall 2024,OLIN,OKU,36218,259987,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 2100,Introductory Statistics (2021FA),,,31924125070445,,Statistics for business and economics,"David R. Anderson, University of Cincinnati, Dennis J. Sweeney, University of Cincinnati, Thomas A. Williams, Rochester Institute of Technology, Jeffrey D. Camm, Wake Forest University, James J. Cochran, University of Alabama",Cengage Learning,MON,Book,HardCopy,Physical Reserve,Uris Library Reserve,Oversize HF1017 .A6 2017,,,,,,,0,
Fall 2024,OLIN,OKU,36218,259988,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 2100,Introductory Statistics (2021FA),,,31924125070478,,Statistics for business and economics,"David R. Anderson, University of Cincinnati, Dennis J. Sweeney, University of Cincinnati, Thomas A. Williams, Rochester Institute of Technology, Jeffrey D. Camm, Wake Forest University, James J. Cochran, University of Alabama",Cengage Learning,MON,Book,HardCopy,Physical Reserve,Uris Library Reserve,Oversize HF1017 .A6 2017,,,,,,,0,
Fall 2024,OLIN,OKU,36218,259989,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 2100,Introductory Statistics (2021FA),,,31924125070486,,Statistics for business and economics,"David R. Anderson, University of Cincinnati, Dennis J. Sweeney, University of Cincinnati, Thomas A. Williams, Rochester Institute of Technology, Jeffrey D. Camm, Wake Forest University, James J. Cochran, University of Alabama",Cengage Learning,MON,Book,HardCopy,Physical Reserve,Uris Library Reserve,Oversize HF1017 .A6 2017,,,,,,,0,
Fall 2024,OLIN,OKU,36004,258640,Item Available at Reserve Desk,27-Aug-24,AEM,AEM 2350 Introduction To The Economics Of Developm,AEM 2350 Introduction To The Economics Of Development (2024FA),"Kapoor, Vrinda; Puerto, Sergio",,31924131627923,,Economic development,"Michael P. Todaro, New York University, Stephen C. Smith, The George Washington University",Pearson,MON,Book,HardCopy,Physical Reserve,Olin Library,Oversize HD82 .T552 2020 +,,,,,,,0,
Fall 2024,JGSM,JGSM,36128,259468,Awaiting Reserves Processing,26-Aug-24,AEM,AEM 2400 Marketing (2024FA),AEM 2400 Marketing (2024FA),"Yang, Nathan",,,,Marketing Management,"Kotler, Keller, Chernev",,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,OLIN,OKU,36259,260293,Item Available at Reserve Desk,30-Oct-24,AEM,AEM 2500,Environmental and Resource Economics,"Cranston, Michelle; Grandstaff, Nicholas; Mix, Kathryn",,31924131577516,,Environmenal and Natural Economics,"Tom Tietenberg, Lynne Lewis",,MON,Book,HardCopy,Physical Reserve,Olin,Oversize HC79 E5 T525  2024 +,,,,,,,0,
Fall 2024,MANN,MANN,36153,259601,Item Available at Reserve Desk,27-Aug-24,AEM,AEM 2600,Managerial Economics (2024FA),"Leyden, Benjamin",,31924130750635,,Managerial Economics,Michael Baye and Jeff Prince,,MON,Book,HardCopy,Physical Reserve,,HD30.22 B38 2021,,,,,,,0,
Fall 2024,MANN,MANN,36153,259600,Item Available at Reserve Desk,28-Aug-24,AEM,AEM 2600,Managerial Economics (2024FA),"Leyden, Benjamin",,31924126891476,,Managerial Economics and Business Strategy,Michael Baye and Jeff Prince,,MON,Book,HardCopy,Physical Reserve,,HD30.22 .B38 2017,,,,,,,0,
Fall 2024,MANN,MANN,36102,260018,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 3020,Farm Business Management (2024FA),"Jablonski, Rebecca; Smith, Madilyn",,31924131641817,,Agribusiness Management,"Barnard, F.L., Foltz, J., Yeager, E., and Brewer, B.",,MON,Book,HardCopy,Physical Reserve,,HD9000.5 B323 2021,,,,,,,0,
Fall 2024,MANN,MANN,36102,259339,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 3020,Farm Business Management (2024FA),"Jablonski, Rebecca; Smith, Madilyn",,31924131641809,,Agribusiness Management,"Barnard, F.L., Foltz, J., Yeager, E., and Brewer, B.",,MON,Book,HardCopy,Physical Reserve,,HD9000.5 B323 2021,,,,,,,0,
Fall 2024,JGSM,JGSM,36177,259699,Awaiting Reserves Processing,28-Aug-24,AEM,AEM 4400 Retail Strategy (2024FA),AEM 4400 Retail Strategy (2024FA),"Yang, Nathan",,,,Precision Retailing,"Dube, Cohen, Yang, and Monla",,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,JGSM,JGSM,36177,259700,Awaiting Reserves Processing,28-Aug-24,AEM,AEM 4400 Retail Strategy (2024FA),AEM 4400 Retail Strategy (2024FA),"Yang, Nathan",,,,Pricing Strategy and Analytics,Rao,,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,JGSM,JGSM,36177,259698,Awaiting Reserves Processing,28-Aug-24,AEM,AEM 4400 Retail Strategy (2024FA),AEM 4400 Retail Strategy (2024FA),"Yang, Nathan",,,,Real Estate Market Analysis,Brett,,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,JGSM,JGSM,36177,259697,Awaiting Reserves Processing,28-Aug-24,AEM,AEM 4400 Retail Strategy (2024FA),AEM 4400 Retail Strategy (2024FA),"Yang, Nathan",,,,Retailing Management,"Levy, Weitz, and Grewal",,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,JGSM,JGSM,36177,259701,Awaiting Reserves Processing,28-Aug-24,AEM,AEM 4400 Retail Strategy (2024FA),AEM 4400 Retail Strategy (2024FA),"Yang, Nathan",,,,The Economics of Franchising,Blair and Lafontaine,,MON,Book,HardCopy,Physical Reserve,,,,,,,,,0,
Fall 2024,MANN,MANN,36225,260043,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924117931976,,Achieving Sustainable Communities in a Global Economy,Ralph Christy,,MON,Book,HardCopy,Physical Reserve,,HD 1415 A234 2004,,,,,,,0,
Fall 2024,MANN,MANN,36225,260044,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924117931984,,Achieving Sustainable Communities in a Global Economy,Ralph Christy,,MON,Book,HardCopy,Physical Reserve,,HD 1415 A234 2004,,,,,,,0,
Fall 2024,MANN,MANN,36225,260045,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924117931968,,Achieving Sustainable Communities in a Global Economy,Ralph Christy,,MON,Book,HardCopy,Physical Reserve,,HD 1415 A234 2004,,,,,,,0,
Fall 2024,MANN,MANN,36225,260046,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924117931851,,Achieving Sustainable Communities in a Global Economy,Ralph Christy,,MON,Book,HardCopy,Physical Reserve,,HD 1415 A234 2004,,,,,,,0,
Fall 2024,MANN,MANN,36225,260047,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924104433036,,Emerging Markets,Christy,,MON,Book,HardCopy,Physical Reserve,,AEM 4420.1,,,,,,,0,
Fall 2024,MANN,MANN,36225,260048,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924104433135,,Emerging Markets,Christy,,MON,Book,HardCopy,Physical Reserve,,AEM 4420.1,,,,,,,0,
Fall 2024,MANN,MANN,36225,260049,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924117945109,,Emerging Markets,Christy,,MON,Book,HardCopy,Physical Reserve,,AEM 4420.1,,,,,,,0,
Fall 2024,MANN,MANN,36225,260050,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924108702113,,Emerging Markets,Christy,,MON,Book,HardCopy,Physical Reserve,,AEM 4420.1,,,,,,,0,
Fall 2024,MANN,MANN,36225,260041,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924108808738,,Emerging Markets Fall 2019,Ralph Christy,,MON,Book,HardCopy,Physical Reserve,,4420.3,,,,,,,0,
Fall 2024,MANN,MANN,36225,260042,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924108808811,,Emerging Markets Fall 2021,Ralph Christy,,MON,Book,HardCopy,Physical Reserve,,AEM 4420.3,,,,,,,0,
Fall 2024,MANN,MANN,36225,260051,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924108805932,,The Mind of a Fox,Ilbury & Sunter,,MON,Book,HardCopy,Physical Reserve,,HD30.28 I354 2001,,,,,,,0,
Fall 2024,MANN,MANN,36225,260052,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924108805924,,The Mind of a Fox,Ilbury & Sunter,,MON,Book,HardCopy,Physical Reserve,,HD30.28 I354 2001,,,,,,,0,
Fall 2024,MANN,MANN,36225,260053,Item Available at Reserve Desk,05-Sep-24,AEM,AEM 4420,Emerging Markets,"Christy, Ralph; Reynolds, Jennifer; Zhao, Hongdi",,31924108805940,,The Mind of a Fox,Ilbury & Sunter,,MON,Book,HardCopy,Physical Reserve,,HD30.28 I354 2001,,,,,,,0,
Fall 2024,E-RESERVE,MANN,36299,260685,Item Available on Electronic Reserves,19-Nov-24,AEM,AEM 4670/5670,Investements,"Saar, Gideon",,,http://encompass.library.cornell.edu/cgi-bin/checkIP.cgi?access=gateway_standard%26url=http://site.ebrary.com/lib/cornell/Top?id=10155049,Quantitative equity portfolio management,"Ludwig B. Chincarini, Daehwan Kim",McGraw-Hill,MON,Book,WebLink,E-Reserve,,e-resource,,,,,,,0,
Fall 2024,E-RESERVE,MANN,36049,258996,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://www.jstor.org/stable/43861005,American Economic Review – Papers and Proceedings,"Bloom, Lemos, Sadun, Scur and Van Reenen",,MON,Article,WebLink,E-Reserve,,networked resource,International Data on Measuring Management Practices,,,,,,0,
Fall 2024,E-RESERVE,MANN,36049,259007,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://doi.org/10.1016/j.bushor.2012.11.007,Business Horizons,"Aguinis, Herman; Joo, Harry; Gottfredson, Ryan K",Elsevier Inc,MON,Article,WebLink,E-Reserve,,e- resource,What monetary rewards can and cannot do: How to show employees the money,56,2,,,241-249,0,
Fall 2024,E-RESERVE,MANN,36049,258990,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://www.cbsnews.com/news/coca-cola-opens-burma-bottling-plant/,CBS News,,,MON,Article,WebLink,E-Reserve,,e-resource,Coca-Cola opens Burma bottling plant,,,,,,0,
Fall 2024,E-RESERVE,MANN,36049,258999,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://www.cnn.com/2021/02/03/media/netflix-asia-expansion-intl-hnk/index.html,CNN.com,"Toh, Michelle",,MON,Article,WebLink,E-Reserve,,E-Resource,Netflix is doubling down on Asia with K-dramas and mobile-only deals. But China remains elusive,,,,,,1,1
Fall 2024,E-RESERVE,MANN,36049,259008,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,15DD647F.pdf,Financial Times,"Politi, James",,MON,Article,PDF,E-Reserve,,E-Resource,White House Unveils Plans to Attract Foreign Investment,,,,,,0,
Fall 2024,E-RESERVE,MANN,36049,258983,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,15DD611C.pdf,Forbes,"Muller, Joann",,SER,Article,PDF,E-Reserve,,,A Driverless Car? Mazda Says Why Take All The Fun Out of It?,,,,,,1,1
Fall 2024,E-RESERVE,MANN,36049,258985,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://www.forbes.com/sites/daviddawkins/2020/03/16/bad-times-for-billionaire-bransonstaff-at-virgin-atlantic-asked-to-take-unpaid-leave-as-coronavirus-cripples-air-travel/?sh=79cb18f958ef,Forbes.com,"Dawkins, David.",,MON,Article,WebLink,E-Reserve,,E-Resource,Bad Times For Billionaire Branson - Staff At Virgin Atlantic Asked To Take Unpaid Leave As Coronavirus Cripples Air Travel,,,,,,0,
Fall 2024,E-RESERVE,MANN,36049,258991,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://www.forbes.com/sites/merrillmatthews/2012/07/20/companies-outsource-because-thats-where-the-sales-are/?sh=8a8cda75e1c3,Forbes.com,Merrill Matthews,,MON,Article,WebLink,E-Reserve,,E-Resource,Companies Outsource because that’s where the Sales Are,,,,,,0,
Fall 2024,E-RESERVE,MANN,36049,259006,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://www.forbes.com/sites/retailwire/2018/02/22/walmart-com-wants-to-sell-higher-not-a-typo-priced-products/?sh=1fdd16c27f54,Forbes.com,"Stern, Matthew",,MON,Article,WebLink,E-Reserve,,E-Resource,Walmart’s Low-Price Strategy Breaks Down Online,,,,,,0,
Fall 2024,E-RESERVE,MANN,36049,259009,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://fortune.com/2015/11/18/businesses-cant-survive-social-media/,Fortune,,,MON,Article,WebLink,E-Reserve,,E-Resource,Why Businesses Can’t Survive without Social Media,,,,,,1,1
Fall 2024,E-RESERVE,MANN,36049,258984,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://proxy.library.cornell.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=144931880&site=eds-live&scope=site,Global Strategy Journal,"Pananond, P, et al.",,MON,Article,WebLink,E-Reserve,,E-Resource,An integrative typology of global strategy and global value chains: The management and organization of cross-border activities,10,3,,,421-443,0,
Fall 2024,E-RESERVE,MANN,36049,258980,Item Available on Electronic Reserves,21-Aug-24,AEM,AEM 5310,Global Strategy,"Wolfolds, Sarah",,,https://proxy.library.cornell.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-79953134202&site=eds-live&scope=site,How I Did It: Blockbuster's Former CEO on Sparring with an Activist Shareholder,John Antioco,,MON,Article,WebLink,E-Reserve,,E-Resource,,,,,,,0,
